x,y,u,v,p,psi,tau_xx,tau_xy,tau_yy,u_exact,p_exact,psi_exact,tau_xx_exact,tau_xy_exact,tau_yy_exact
0.15254237,0.0068965517,0.066587396,0.0,0.84745765,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.84745765,0.00023234518,0.86682534,0.046551727,0.0
0.16949153,0.0068965517,0.066587396,0.0,0.8305085,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.8305085,0.00023234518,0.86682534,0.046551727,0.0
0.18644068,0.0068965517,0.066587396,0.0,0.8135593,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.8135593,0.00023234518,0.86682534,0.046551727,0.0
0.20338982,0.0068965517,0.066587396,0.0,0.7966102,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.7966102,0.00023234518,0.86682534,0.046551727,0.0
0.22033899,0.0068965517,0.066587396,0.0,0.779661,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.779661,0.00023234518,0.86682534,0.046551727,0.0
0.23728813,0.0068965517,0.066587396,0.0,0.7627119,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.7627119,0.00023234518,0.86682534,0.046551727,0.0
0.2542373,0.0068965517,0.066587396,0.0,0.7457627,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.7457627,0.00023234518,0.86682534,0.046551727,0.0
0.27118644,0.0068965517,0.066587396,0.0,0.7288135,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.7288135,0.00023234518,0.86682534,0.046551727,0.0
0.2881356,0.0068965517,0.066587396,0.0,0.7118644,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.7118644,0.00023234518,0.86682534,0.046551727,0.0
0.30508474,0.0068965517,0.066587396,0.0,0.6949153,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.6949153,0.00023234518,0.86682534,0.046551727,0.0
0.3220339,0.0068965517,0.066587396,0.0,0.6779661,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.6779661,0.00023234518,0.86682534,0.046551727,0.0
0.33898306,0.0068965517,0.066587396,0.0,0.66101694,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.66101694,0.00023234518,0.86682534,0.046551727,0.0
0.3559322,0.0068965517,0.066587396,0.0,0.64406776,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.64406776,0.00023234518,0.86682534,0.046551727,0.0
0.37288135,0.0068965517,0.066587396,0.0,0.62711865,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.62711865,0.00023234518,0.86682534,0.046551727,0.0
0.3898305,0.0068965517,0.066587396,0.0,0.61016953,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.61016953,0.00023234518,0.86682534,0.046551727,0.0
0.40677965,0.0068965517,0.066587396,0.0,0.59322035,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.59322035,0.00023234518,0.86682534,0.046551727,0.0
0.42372882,0.0068965517,0.066587396,0.0,0.5762712,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.5762712,0.00023234518,0.86682534,0.046551727,0.0
0.44067797,0.0068965517,0.066587396,0.0,0.559322,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.559322,0.00023234518,0.86682534,0.046551727,0.0
0.45762712,0.0068965517,0.066587396,0.0,0.5423729,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.5423729,0.00023234518,0.86682534,0.046551727,0.0
0.47457626,0.0068965517,0.066587396,0.0,0.52542377,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.52542377,0.00023234518,0.86682534,0.046551727,0.0
0.4915254,0.0068965517,0.066587396,0.0,0.5084746,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.5084746,0.00023234518,0.86682534,0.046551727,0.0
0.5084746,0.0068965517,0.066587396,0.0,0.4915254,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.4915254,0.00023234518,0.86682534,0.046551727,0.0
0.52542377,0.0068965517,0.066587396,0.0,0.47457623,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.47457623,0.00023234518,0.86682534,0.046551727,0.0
0.5423729,0.0068965517,0.066587396,0.0,0.45762712,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.45762712,0.00023234518,0.86682534,0.046551727,0.0
0.559322,0.0068965517,0.066587396,0.0,0.440678,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.440678,0.00023234518,0.86682534,0.046551727,0.0
0.5762712,0.0068965517,0.066587396,0.0,0.42372882,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.42372882,0.00023234518,0.86682534,0.046551727,0.0
0.59322035,0.0068965517,0.066587396,0.0,0.40677965,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.40677965,0.00023234518,0.86682534,0.046551727,0.0
0.61016953,0.0068965517,0.066587396,0.0,0.38983047,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.38983047,0.00023234518,0.86682534,0.046551727,0.0
0.62711865,0.0068965517,0.066587396,0.0,0.37288135,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.37288135,0.00023234518,0.86682534,0.046551727,0.0
0.64406776,0.0068965517,0.066587396,0.0,0.35593224,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.35593224,0.00023234518,0.86682534,0.046551727,0.0
0.66101694,0.0068965517,0.066587396,0.0,0.33898306,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.33898306,0.00023234518,0.86682534,0.046551727,0.0
0.6779661,0.0068965517,0.066587396,0.0,0.32203388,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.32203388,0.00023234518,0.86682534,0.046551727,0.0
0.6949153,0.0068965517,0.066587396,0.0,0.3050847,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.3050847,0.00023234518,0.86682534,0.046551727,0.0
0.7118644,0.0068965517,0.066587396,0.0,0.2881356,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.2881356,0.00023234518,0.86682534,0.046551727,0.0
0.7288135,0.0068965517,0.066587396,0.0,0.27118647,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.27118647,0.00023234518,0.86682534,0.046551727,0.0
0.7457627,0.0068965517,0.066587396,0.0,0.2542373,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.2542373,0.00023234518,0.86682534,0.046551727,0.0
0.7627119,0.0068965517,0.066587396,0.0,0.23728812,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.23728812,0.00023234518,0.86682534,0.046551727,0.0
0.779661,0.0068965517,0.066587396,0.0,0.220339,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.220339,0.00023234518,0.86682534,0.046551727,0.0
0.7966102,0.0068965517,0.066587396,0.0,0.20338982,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.20338982,0.00023234518,0.86682534,0.046551727,0.0
0.8135593,0.0068965517,0.066587396,0.0,0.1864407,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.1864407,0.00023234518,0.86682534,0.046551727,0.0
0.8305085,0.0068965517,0.066587396,0.0,0.16949153,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.16949153,0.00023234518,0.86682534,0.046551727,0.0
0.84745765,0.0068965517,0.066587396,0.0,0.15254235,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.15254235,0.00023234518,0.86682534,0.046551727,0.0
0.86440676,0.0068965517,0.066587396,0.0,0.13559324,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.13559324,0.00023234518,0.86682534,0.046551727,0.0
0.88135594,0.0068965517,0.066587396,0.0,0.11864406,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.11864406,0.00023234518,0.86682534,0.046551727,0.0
0.89830506,0.0068965517,0.066587396,0.0,0.10169494,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.10169494,0.00023234518,0.86682534,0.046551727,0.0
0.91525424,0.0068965517,0.066587396,0.0,0.084745765,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.084745765,0.00023234518,0.86682534,0.046551727,0.0
0.9322034,0.0068965517,0.066587396,0.0,0.06779659,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.06779659,0.00023234518,0.86682534,0.046551727,0.0
0.9491525,0.0068965517,0.066587396,0.0,0.05084747,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.05084747,0.00023234518,0.86682534,0.046551727,0.0
0.9661017,0.0068965517,0.066587396,0.0,0.033898294,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.033898294,0.00023234518,0.86682534,0.046551727,0.0
0.9830508,0.0068965517,0.066587396,0.0,0.016949177,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.016949177,0.00023234518,0.86682534,0.046551727,0.0
1.0,0.0068965517,0.066587396,0.0,0.0,0.00023234518,0.86682534,0.046551727,0.0,0.066587396,0.0,0.00023234518,0.86682534,0.046551727,0.0
0.0,0.013793103,0.12841856,0.0,1.0,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,1.0,0.0009075129,0.7431628,0.043103445,0.0
0.016949153,0.013793103,0.12841856,0.0,0.9830508,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.9830508,0.0009075129,0.7431628,0.043103445,0.0
0.033898305,0.013793103,0.12841856,0.0,0.9661017,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.9661017,0.0009075129,0.7431628,0.043103445,0.0
0.050847456,0.013793103,0.12841856,0.0,0.9491525,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.9491525,0.0009075129,0.7431628,0.043103445,0.0
0.06779661,0.013793103,0.12841856,0.0,0.9322034,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.9322034,0.0009075129,0.7431628,0.043103445,0.0
0.084745765,0.013793103,0.12841856,0.0,0.91525424,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.91525424,0.0009075129,0.7431628,0.043103445,0.0
0.10169491,0.013793103,0.12841856,0.0,0.89830506,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.89830506,0.0009075129,0.7431628,0.043103445,0.0
0.118644066,0.013793103,0.12841856,0.0,0.88135594,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.88135594,0.0009075129,0.7431628,0.043103445,0.0
0.13559322,0.013793103,0.12841856,0.0,0.86440676,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.86440676,0.0009075129,0.7431628,0.043103445,0.0
0.15254237,0.013793103,0.12841856,0.0,0.84745765,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.84745765,0.0009075129,0.7431628,0.043103445,0.0
0.16949153,0.013793103,0.12841856,0.0,0.8305085,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.8305085,0.0009075129,0.7431628,0.043103445,0.0
0.18644068,0.013793103,0.12841856,0.0,0.8135593,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.8135593,0.0009075129,0.7431628,0.043103445,0.0
0.20338982,0.013793103,0.12841856,0.0,0.7966102,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.7966102,0.0009075129,0.7431628,0.043103445,0.0
0.22033899,0.013793103,0.12841856,0.0,0.779661,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.779661,0.0009075129,0.7431628,0.043103445,0.0
0.23728813,0.013793103,0.12841856,0.0,0.7627119,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.7627119,0.0009075129,0.7431628,0.043103445,0.0
0.2542373,0.013793103,0.12841856,0.0,0.7457627,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.7457627,0.0009075129,0.7431628,0.043103445,0.0
0.27118644,0.013793103,0.12841856,0.0,0.7288135,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.7288135,0.0009075129,0.7431628,0.043103445,0.0
0.2881356,0.013793103,0.12841856,0.0,0.7118644,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.7118644,0.0009075129,0.7431628,0.043103445,0.0
0.30508474,0.013793103,0.12841856,0.0,0.6949153,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.6949153,0.0009075129,0.7431628,0.043103445,0.0
0.3220339,0.013793103,0.12841856,0.0,0.6779661,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.6779661,0.0009075129,0.7431628,0.043103445,0.0
0.33898306,0.013793103,0.12841856,0.0,0.66101694,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.66101694,0.0009075129,0.7431628,0.043103445,0.0
0.3559322,0.013793103,0.12841856,0.0,0.64406776,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.64406776,0.0009075129,0.7431628,0.043103445,0.0
0.37288135,0.013793103,0.12841856,0.0,0.62711865,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.62711865,0.0009075129,0.7431628,0.043103445,0.0
0.3898305,0.013793103,0.12841856,0.0,0.61016953,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.61016953,0.0009075129,0.7431628,0.043103445,0.0
0.40677965,0.013793103,0.12841856,0.0,0.59322035,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.59322035,0.0009075129,0.7431628,0.043103445,0.0
0.42372882,0.013793103,0.12841856,0.0,0.5762712,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.5762712,0.0009075129,0.7431628,0.043103445,0.0
0.44067797,0.013793103,0.12841856,0.0,0.559322,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.559322,0.0009075129,0.7431628,0.043103445,0.0
0.45762712,0.013793103,0.12841856,0.0,0.5423729,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.5423729,0.0009075129,0.7431628,0.043103445,0.0
0.47457626,0.013793103,0.12841856,0.0,0.52542377,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.52542377,0.0009075129,0.7431628,0.043103445,0.0
0.4915254,0.013793103,0.12841856,0.0,0.5084746,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.5084746,0.0009075129,0.7431628,0.043103445,0.0
0.5084746,0.013793103,0.12841856,0.0,0.4915254,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.4915254,0.0009075129,0.7431628,0.043103445,0.0
0.52542377,0.013793103,0.12841856,0.0,0.47457623,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.47457623,0.0009075129,0.7431628,0.043103445,0.0
0.5423729,0.013793103,0.12841856,0.0,0.45762712,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.45762712,0.0009075129,0.7431628,0.043103445,0.0
0.559322,0.013793103,0.12841856,0.0,0.440678,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.440678,0.0009075129,0.7431628,0.043103445,0.0
0.5762712,0.013793103,0.12841856,0.0,0.42372882,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.42372882,0.0009075129,0.7431628,0.043103445,0.0
0.59322035,0.013793103,0.12841856,0.0,0.40677965,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.40677965,0.0009075129,0.7431628,0.043103445,0.0
0.61016953,0.013793103,0.12841856,0.0,0.38983047,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.38983047,0.0009075129,0.7431628,0.043103445,0.0
0.62711865,0.013793103,0.12841856,0.0,0.37288135,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.37288135,0.0009075129,0.7431628,0.043103445,0.0
0.64406776,0.013793103,0.12841856,0.0,0.35593224,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.35593224,0.0009075129,0.7431628,0.043103445,0.0
0.66101694,0.013793103,0.12841856,0.0,0.33898306,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.33898306,0.0009075129,0.7431628,0.043103445,0.0
0.6779661,0.013793103,0.12841856,0.0,0.32203388,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.32203388,0.0009075129,0.7431628,0.043103445,0.0
0.6949153,0.013793103,0.12841856,0.0,0.3050847,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.3050847,0.0009075129,0.7431628,0.043103445,0.0
0.7118644,0.013793103,0.12841856,0.0,0.2881356,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.2881356,0.0009075129,0.7431628,0.043103445,0.0
0.7288135,0.013793103,0.12841856,0.0,0.27118647,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.27118647,0.0009075129,0.7431628,0.043103445,0.0
0.7457627,0.013793103,0.12841856,0.0,0.2542373,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.2542373,0.0009075129,0.7431628,0.043103445,0.0
0.7627119,0.013793103,0.12841856,0.0,0.23728812,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.23728812,0.0009075129,0.7431628,0.043103445,0.0
0.779661,0.013793103,0.12841856,0.0,0.220339,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.220339,0.0009075129,0.7431628,0.043103445,0.0
0.7966102,0.013793103,0.12841856,0.0,0.20338982,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.20338982,0.0009075129,0.7431628,0.043103445,0.0
0.8135593,0.013793103,0.12841856,0.0,0.1864407,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.1864407,0.0009075129,0.7431628,0.043103445,0.0
0.8305085,0.013793103,0.12841856,0.0,0.16949153,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.16949153,0.0009075129,0.7431628,0.043103445,0.0
0.84745765,0.013793103,0.12841856,0.0,0.15254235,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.15254235,0.0009075129,0.7431628,0.043103445,0.0
0.86440676,0.013793103,0.12841856,0.0,0.13559324,0.0009075129,0.7431628,0.043103445,0.0,0.12841856,0.13559324,0.0009075129,0.7431628,0.043103445,0.0
